id,question_id,answer_en,answer_ar
1,1,0 Not At All Likely,0 لا أنصح
2,1,1,1
3,1,2,2
4,1,3,3
5,1,4,4
6,1,5,5
7,1,6,6
8,1,7,7
9,1,8,8
10,1,9,9
11,1,10 Extremely Likely,10 أنصح بشدة
12,2,Staff's lack of knowledge,قلة معرفة الموظفين عن الخدمات والمنتجات
13,2,Poor staff attitude,سلوك سيئ من الموظف
14,2,Poor staff communication,طريقة تواصل الموظف غير مريحة 
15,2,Unhelpful staff,الموظف غير متساعد 
16,2,Not welcomed suitably,لم يتم الترحيب بي بشكل مناسب 
17,2,staff was distracted or on mobile,الموظف منشغل وقت خدمتي (بالجوال او شي اخر)  
18,2,staff directed me to another counter / branch,وجهني الموظف الى موظف اخر او لأقرب فرع
19,2,Crowded Branch,ازدحام الفرع 
20,2,Branch not clean or hygienic,الفرع غير نظيف أو صحي
21,2,Branch temperature too high / low,درجة حرارة الفرع مرتفعة \ منخفضة للغاية 
22,2,Waiting time unacceptable,وقت الانتظار غير مقبول
23,2,Waiting area uncomfortable,منطقة الانتظار غير مريحه 
24,2,Poor branch standards & maintenance,معايير وصيانة الفرع سيئة 
25,2,Poor adaptation for disability,الفرع غير مجهز لاستقبال لذوي الاحتياجات الخاصه
26,2,System down,تعطل النظام
27,2,Printers are not working,عدم عمل الطابعات 
28,2,"Process delay, longer than promised",تأخر في الاجراء وتنفيذ العمليه 
29,2,Service wait time unacceptable,الوقت المستغرق لتنفيذ الخدمة (العملية) غير مقبول
30,2,Inappropriate Fees / charges / profit rate,الرسوم / تكاليف / معدل الربح عاليه 
31,2,Any valuable suggestion to help us serve you better?,هل يوجد لديك أي إقتراحات تساعدنا علي خدمتك بشكل أحسن ؟
33,3,Extremely Satisfied,راضي للغاية 
34,3,Somewhat Satisfied,راضي نوعا ما 
35,3,Neutral,محايد - لست راضي او غير راضي 
36,3,Somewhat Disatisfied,غير راضي نوعا ما
37,3,Extremely Disatisfied,غير راضي على الاطلاق
38,4,Very easy,سهل جدا
39,4,Easy,سهل
40,4,Neutral,محايد
41,4,Difficult,صعب
42,4,Very Diffcult,صعب جدا
43,5,Yes,نعم
44,5,No,لا
